CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
145171  ,1.0,3.0,2.0,15.0,5.0,4.0,2.0,3.0,3.0,37.5,,,,,,,,300.0,3.0,2.0,07,0.0,0.0,T105,15 años,0.77,145171  -1.0,6.43,1318.6000999999999,1
145171  ,1.0,3.0,1.0,13.0,5.0,4.0,1.0,3.0,7.0,37.5,,,,,,,,300.0,2.0,2.0,03,0.0,0.0,T105,13 años,0.9,145171  -1.0,6.43,1318.6000999999999,1
145171  ,1.0,3.0,2.0,10.0,5.0,4.0,1.0,3.0,3.0,37.5,,,,,,,,300.0,2.0,2.0,02,0.0,0.0,T105,10 años,0.7,145171  -1.0,6.43,1318.6000999999999,1
145171  ,1.0,3.0,1.0,7.0,5.0,4.0,1.0,4.0,3.0,37.5,,,,,,,,300.0,2.0,2.0,01,0.0,0.0,T105,7 años,0.66,145171  -1.0,6.43,1318.6000999999999,1
145171  ,1.0,3.0,1.0,5.0,5.0,4.0,7.0,4.0,5.0,37.5,,,,,,,,300.0,0.0,0.0,  ,0.0,0.0,T105,5 años,0.6,145171  -1.0,6.43,1318.6000999999999,1
145171  ,1.0,3.0,1.0,17.0,5.0,4.0,1.0,1.0,,37.5,3.0,1.0,1.0,,,,,300.0,2.0,2.0,04,7.0,0.0,T105,17 años,1.04,145171  -1.0,6.43,1318.6000999999999,1
145184  ,1.0,1.0,1.0,29.0,2.0,1.0,4.0,1.0,,192.85714285714286,3.0,1.0,1.0,,900.0,,,1350.0,4.0,1.0,  ,32.0,0.0,T105,18 a 29 años,1.02,145184  -1.0,3.42,701.3394,0
145184  ,1.0,2.0,2.0,29.0,2.0,1.0,3.0,3.0,4.0,192.85714285714286,,,,,,,,1350.0,4.0,2.0,03,0.0,0.0,T105,18 a 29 años,0.76,145184  -1.0,3.42,701.3394,0
145184  ,1.0,3.0,1.0,9.0,5.0,1.0,1.0,4.0,3.0,192.85714285714286,,,,,,,,1350.0,3.0,2.0,03,0.0,0.0,T105,9 años,0.69,145184  -1.0,3.42,701.3394,0
145184  ,1.0,3.0,1.0,5.0,5.0,1.0,7.0,4.0,5.0,192.85714285714286,,,,,,,,1350.0,1.0,2.0,00,0.0,0.0,T105,5 años,0.6,145184  -1.0,3.42,701.3394,0
